Year,City,Type of structure,Type of unit,Rent Price
2019,Kings Subdivision,Row and apartment structures of three units and over,Two bedroom units,817.0
2019,Kings Subdivision,Apartment structures of three units and over,One bedroom units,608.0
2019,Kings Subdivision,Apartment structures of three units and over,Two bedroom units,794.0
2019,Kings Subdivision,Apartment structures of six units and over,One bedroom units,608.0
2019,Kings Subdivision,Apartment structures of six units and over,Two bedroom units,692.0
2019,Kingston,Row and apartment structures of three units and over,Bachelor units,814.0
2019,Kingston,Row and apartment structures of three units and over,One bedroom units,1101.0
2019,Kingston,Row and apartment structures of three units and over,Two bedroom units,1295.0
2019,Kingston,Row and apartment structures of three units and over,Three bedroom units,1734.0
2019,Kingston,Row structures of three units and over,Three bedroom units,1427.0
2019,Kingston,Apartment structures of three units and over,Bachelor units,814.0
2019,Kingston,Apartment structures of three units and over,One bedroom units,1101.0
2019,Kingston,Apartment structures of three units and over,Two bedroom units,1289.0
2019,Kingston,Apartment structures of three units and over,Three bedroom units,1805.0
2019,Kingston,Apartment structures of six units and over,Bachelor units,832.0
2019,Kingston,Apartment structures of six units and over,One bedroom units,1120.0
2019,Kingston,Apartment structures of six units and over,Two bedroom units,1302.0
2019,Kingston,Apartment structures of six units and over,Three bedroom units,1822.0
2019,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Bachelor units,804.0
2019,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,One bedroom units,1041.0
2019,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Two bedroom units,1223.0
2019,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Three bedroom units,1285.0
2019,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Bachelor units,660.0
2019,Kitchener-Cambridge-Waterloo,Row structures of three units and over,One bedroom units,919.0
2019,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Two bedroom units,1092.0
2019,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Three bedroom units,1267.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Bachelor units,810.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,One bedroom units,1045.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Two bedroom units,1231.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Three bedroom units,1300.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Bachelor units,822.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,One bedroom units,1053.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Two bedroom units,1241.0
2019,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Three bedroom units,1311.0
2019,Lambton Shores,Row and apartment structures of three units and over,Two bedroom units,825.0
2019,Lambton Shores,Apartment structures of three units and over,Two bedroom units,825.0
2019,Lambton Shores,Apartment structures of six units and over,Two bedroom units,825.0
2019,Leamington,Row and apartment structures of three units and over,One bedroom units,928.0
2019,Leamington,Row and apartment structures of three units and over,Two bedroom units,1165.0
2019,Leamington,Row and apartment structures of three units and over,Three bedroom units,1034.0
2019,Leamington,Apartment structures of three units and over,One bedroom units,929.0
2019,Leamington,Apartment structures of three units and over,Two bedroom units,1168.0
2019,Leamington,Apartment structures of three units and over,Three bedroom units,1101.0
2019,Leamington,Apartment structures of six units and over,One bedroom units,942.0
2019,Leamington,Apartment structures of six units and over,Two bedroom units,1193.0
2019,London,Row and apartment structures of three units and over,Bachelor units,697.0
